"Guten Morgen.       ","Good morning."
"das Ladekabel, -        ","charge cable"
"der USB-Stick, -s       ","USB stick"
"der Hut, -ü-e         ","hat"
"das Kleid, -er          ","dress, pl: dresses / clothes"
"der Lippenstift, -e       ","lipstick"
"die Sonnenbrille, -n        ","sunglasses"
"gehen           ","to go"
"shoppen gehen       ","to go shopping"
"Gehen Sie gern shoppen?     ","Do you like go shopping? (formal)"
"kaufen            ","to buy"
"die Batterie, -n          ","battery"
"die Hose, -n          ","trousers, pants"
"der Koffer, -         ","suitcase"
"alles           ","everything, all"
"Ist das alles?          ","Is that all?"
"brauchen          ","to need"
"Gute Idee.          ","good idea"
"nur           ","only"
"vielleicht          ","perhaps, maybe"
"die Handyhülle, -n        ","cell phone case"
"die Kette, -n         ","necklace, chain"
"der Ring, -e          ","ring"
"Kann ich Ihnen helfen?      ","Can I help you? (formal)"
"suchen            ","to look for, search"
"die CD, -s          ","CD"
"möchten, er/sie möchte      ","to would like, he/she would like"
"glauben         ","to believe"
"Ich glaube, Franzi sucht CDs.   ","I believe Franzi’s looking for CDs."
"Schau mal, …          ","Look, ..."
"Schau mal, das Bild!      ","Look at the picture!"
"Das Bild ist schön!     ","The picture is beautiful!"
"haben, er/sie hat       ","to have, he/she has"
"günstig           ","cheap"
"denken          ","to think"
"Ich denke, ich kaufe den USB-Stick.   ","I think I buy the USB stick."
"Nicht schlecht.         ","not bad"
"wirklich          ","really"
"Brauchst du das Handy wirklich?   ","Do you really need the cell phone? "
"das Smartphone, -s        ","smartphone"
"doch            ","different meanings: “on the contrary”, "
however, yet
"Tut mir leid.         ","I’m sorry."
"Ja, klar.         ","Yes, sure."
"leider            ","unfortunately"
"Ich habe leider keinen Bleistift.   ","Unfortunately, I don’t have a pencil."
"der Tipp, -s          ","hint/tip"
"kennen          ","to know"
"finden            ","to find"
"Wie findet ihr die Uhr?     ","How do you find the watch?"
"der Tee, -s         ","tea"
"dort            ","there"
"der Traum, -äu-e        ","dream"
"Shoppen in Hamburg - ein Traum!   ","Shopping in Hamburg (is) a dream!"
"der Haften, -ä-         ","harbour"
"das Schiff, -e          ","ship"
"das Theater, -          ","theater"
"toll            ","great"
