Lektion 12
"rosa            ","rose (color)"
"lila            ","purple"
"blau            ","blue"
"hellblau          ","bright blue"
"gün           ","green"
"dunkelgrün          ","dark green"
"braun           ","brown"
"grau            ","grey"
"schwarz         ","black"
"anziehen, er/sie hat angezogen    ","put on (clothes)"
"gefallen, er/sie gefähllt, er/sie hat gefallen  ","“to be pleasing”"
"gehören         ","to belong"
"danken          ","to thank"
"Ich danke dir!          ","(I) thank you!"
"schmecken         ","to taste"
"passen            ","to fit"
"  Die Bluse passt dir nicht.    ","The blouse doesn’t fit you."
"stehen, er/sie hat gestanden      ","to suit"
"","Die Hose steht dir gut. (Sie steht dir gut) The pants suit you well."
"zufrieden         ","content (happy)"
"die Disko, -s / der Club      ","club"
"bedeuten          ","to mean"
"dorthin           ","there"
"das Ostern (sg.)        ","Easter"
 
Lektion 15
"der Platz, -ä-e         ","square (or: space; place)"
"die Kreuzung, -en       ","crossover"
"das Schild, -er         ","sign"
"der Zebrastreifen, -        ","cross-walk"
"der Bahnhof, -ö-e       ","train station"
"die Fussgängerzone, -n      ","pedestrian zone"
"der Radweg, -e        ","bicycle trail"
"(nach) links          ","(to the) left"
"(nach) rechts         ","(to the) right"
"geradeaus         ","straight on"
"sollen, er/sie soll       ","to shall"
"Wie soll ich fahren?        ","Where shall I go (drive)?"
"Ich bin nicht von hier.       ","I’m not from here."
"Fahren Sie die erste Strasse nach links.  ","The first street turn left."
"bis zu (+ Ort)          ","(up) to (+ place)"
"An der Kreuzung fahren Sie links.   ","At the crossover turn left."
"das Restaurant, -s        ","restaurant"
"der Schalter, -         ","desk, do you mean switcher?"
"der Kiosk, -e         ","kiosk"
"das Gleis, -e         ","track/platform"
"Der Zug fährt von Gleis 4 ab.     ","The train leaves from track 4."
"abfahren, er/sie fährt ab, er/sie ist abgefahren","to leave"
"die Anzeigetafel, -n        ","destination board"
"die Fahrkarte, -n (CH: das Billet)    ","ticket"
"die Information, -en        ","information"
"die Raucherzone, -n       ","smoking area"
"bar           ","cash"
"Ich zahle bar.          ","I pay cash."
"die Kreditkarte, -n       ","credit card"
"mit Kreditkarte / mit Karte zahlen    ","“with” card / pay by card"
